ham	අද උදේ අපි බොහොම enjoy කළා.
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9977 ට යවන්න.
ham	අද ඔයාගෙ birthday celebration එක කොහෙද?
spam	ඔබගේ කේතය: 789012. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද ඔයාට ගෙදර තියෙන කට්ටියට තෑගි ගෙනාවාද?
spam	ඔබගේ බැංකු ගිණුම අක්‍රියයි. නැවත සක්‍රීය කිරීමට 0714444444 අමතන්න.
ham	අද උදේ පොඩි traffic එකක් තිබ්බ.
spam	ඔබගේ කේතය: 567890. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද දවසක් සන්සුන් යන්නෙ නේද?
spam	ඔබගේ කේතය: 654321. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද ඔයා ආවොත් හොඳයි.
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8899 ට යවන්න.
ham	අද මට ඔයාගේ reply එක බලන් හිටියා.
spam	ඔබගේ බැංකු ගිණුම අක්‍රියයි. නැවත සක්‍රීය කිරීමට 0718989898 අමතන්න.
ham	අද මම ඔයාගෙ අම්මාට දුන් gift එක අරන් ආවා.
spam	ඔබගේ කේතය: 678901. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද ඔයාට presentation එකක් තිබ්බෙ නේද?
spam	ඔබගේ ගිණුමට අමුත්තන් ප්‍රවේශ වී ඇත. ආරක්ෂාව සඳහා 0114545454 අමතන්න.
ham	අද පස්වරු 3ට interview එකක් තියෙනවා.
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9998 ට යවන්න.
ham	අද phone එකක් call history එක පිරිච්ච නෑ.
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8866 ට යවන්න.
ham	අද කාලේ ලස්සනයි නේ.
spam	ඔබගේ කේතය: 432109. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද market එකේ vegetable rates වලට පොඩි වැඩක් තියෙනව.
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9988 ට යවන්න.
ham	අද class එක cancel කරලා.
spam	ඔබගේ කේතය: 345678. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද match එක බලන්න කැමතිද?
spam	ඔබගේ බැංකු ගිණුම අක්‍රියයි. නැවත සක්‍රීය කිරීමට 0712323232 අමතන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, FREE යන්න 8889 ට යවන්න.
ham	අද phone එකේ message එකක් ආව වගෙයි.
spam	ඔබගේ කේතය: 210987. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද dinner එකක් කරන්න හදනවා.
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9944 ට යවන්න.
ham	අද ඔයාගේ phone එකට message එකක් ආව වගෙයි.
spam	ඔබගේ කේතය: 123456. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද උදේ කෝපි එකක් බොන්න යමුද?
spam	ඔබගේ කේතය: 890123. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද මට වැඩ වැඩියි, හෙට call කරනවා.
spam	ඔබගේ කේතය: 789012. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද ඔයාට Zoom meeting එකක් තියෙනවද?
spam	ඔබගේ කේතය: 210987. තහවුරු කිරීමට දැන්ම ඇමතුමක් ලබා ගන්න.
ham	අද කාලේ කාලගුණය හොඳයි නේද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9955 ට යවන්න.
ham	අද ඔයාට presentation එකක් තිබ්බෙ නේද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8844 ට යවන්න.
ham	අද උදේ දවස්වල gym එකට යන්න හිතනව.
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9933 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, FREE යන්න 8877 ට යවන්න.
ham	අද ඔයාට මහනුවර යන්න තිබ්බෙ නේද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9922 ට යවන්න.
ham	අද ඔයාට වැඩේ ගැන update එකක් දීලා තියෙන්නේද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8822 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9911 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, FREE යන්න 8855 ට යවන්න.
ham	අද ඔයාට Zoom meeting එකක් තියෙනවද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9900 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8800 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9899 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, FREE යන්න 8811 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9888 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8799 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 9877 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, FREE යන්න 8788 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 8777 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8766 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 8755 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, FREE යන්න 8744 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 8733 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8722 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 8711 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, FREE යන්න 8700 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 8699 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8688 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 8677 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, FREE යන්න 8666 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 8655 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
spam	ඔබට නොමිලේ රිලෝඩ් ලබා ගැනීමට, WIN යන්න 8644 ට යවන්න.
ham	අද ඔයාට internet slow වෙලාද?
spam	ඔබට නොමිලේ දත්ත පැකේජයක්! CLAIM යන්න 8633 ට යවන්න.
ham	අද ඔයාගේ class එකට late වෙලාද?
